region;baron_first_blue;champion_first_blue;dragon_first_blue;inhibitor_first_blue;herald_first_blue;tower_first_blue;baron_first_red;champion_first_red;dragon_first_red;inhibitor_first_red;herald_first_red;tower_first_red;dif_kills;dif_barons;dif_dragons;dif_inhibitor;dif_herald;dif_tower;dif_dmg_dealt_to_buildings;dif_dmg_dealt_to_objectives;dif_dmg_dealt_to_turrets;dif_dmg_self_mitigated;dif_gold_earned;dif_gold_spent;dif_magic_dmg_dealt;dif_physical_dmg_dealt;dif_true_dmg_dealt;dif_total_minions_killed;dif_neutral_minions_killed;dif_total_heal;dif_vision_score;win_blue
KR;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;5.0;-2.0;2.0;-1.0;0.0;1.0;423.0;-8864.0;423.0;-25302.0;3173.0;-4600.0;-148412.0;165523.0;18804.0;33.0;7.0;18358.0;12.0;1.0
KR;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;-11.0;-1.0;-4.0;-1.0;-2.0;-5.0;-11973.0;-82327.0;-11973.0;48728.0;-10600.0;-5740.0;-53968.0;-39670.0;-103141.0;8.0;-98.0;-22325.0;-4.0;0.0
KR;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;-5.0;2.0;1.0;0.0;0.0;-2.0;-7050.0;16823.0;-7050.0;-225.0;-4163.0;-3770.0;-33099.0;-152844.0;21027.0;-88.0;-26.0;10903.0;45.0;0.0
KR;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;-15.0;-2.0;-2.0;-2.0;2.0;-5.0;-15667.0;-32454.0;-15667.0;-33126.0;-8952.0;-4765.0;64100.0;-188466.0;61551.0;80.0;-101.0;-1867.0;17.0;0.0
KR;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;-14.0;-1.0;-1.0;-1.0;0.0;-10.0;-23457.0;-51876.0;-23457.0;-24086.0;-10615.0;-6460.0;-145099.0;-8031.0;16164.0;-39.0;-27.0;-22261.0;22.0;0.0
KR;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;17.0;0.0;1.0;2.0;2.0;9.0;31830.0;82274.0;31830.0;544.0;21616.0;11800.0;-16868.0;176048.0;-31902.0;-104.0;78.0;18048.0;64.0;1.0
KR;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;1.0;1.0;1.0;2.0;8.0;17705.0;48378.0;17705.0;-661.0;10120.0;7145.0;66091.0;12834.0;1553.0;69.0;-16.0;9422.0;43.0;1.0
KR;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;-7.0;-1.0;-2.0;-1.0;-2.0;-5.0;-6039.0;-60120.0;-6039.0;-991.0;-6432.0;-3935.0;-155556.0;82369.0;11014.0;10.0;2.0;4505.0;23.0;0.0
KR;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;18.0;1.0;-1.0;2.0;2.0;7.0;12692.0;36071.0;12692.0;43668.0;10953.0;11475.0;34562.0;36405.0;710.0;-26.0;23.0;14300.0;-52.0;1.0
KR;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;-8.0;-1.0;-3.0;-1.0;-2.0;-3.0;-12900.0;-116476.0;-12900.0;-26526.0;-14658.0;-13580.0;-68810.0;-64396.0;27116.0;-152.0;-10.0;6642.0;-36.0;0.0
