summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,leagueId,queue,name
ql-SRNwuTuL4_ajMo18GMwGL6ANeT0ECMQmydxU0y3fmtO0,Neramin1,1021,I,193,166,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
3nTYFiZlIO2Om4TmfjdfKMNp--RI6nSZRgjlvR5R5lgzX5c,AHaHaCiK,1195,I,229,192,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
Rh-jPVmfjPS_fpPZF1EU8Ryqg-AdMV-W56gDsJOcMLUK0os,Po Gap,1024,I,129,89,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
wDU3m0J6Ri1u0iq7NZKcYsvyzwvwqN6z16ZtIttDkrulLsM,Curling Captain,1015,I,254,218,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
X0KxmRhEc2HNZCxI9icvuP39PwK9GB3SV63eRBI9n4qxaVssTGU-xuJ7tQ,KAURUYPQTY,973,I,162,119,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
XXpOHfmU6Bdsq7hxHYoYe4U2MlVtAVZD1MFyroCRwVuPizmy,he is god,1118,I,286,248,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
1ZdXTzmG2qwzhgGjspdav4pZUOZWyEWPKXpWYZB1GWXv8paVmADMrofKEg,Hope0,984,I,142,95,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
22yJTy-zrvHVNjc5Jl_E0qDm3kSRWAGAzI9Li5wN6PR7Xfk,s1vven1337,979,I,235,201,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
Ta6SZq34gVlWs74skI1kYPRoXSyGahNjP2yvzMIRXsyP5OY7,Gilius2,977,I,158,125,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
A_QLWYuDxpzkG1PHgdvxepCa1m_QwLXeyFzG1xYR-xVZSbrdgL4okNBF6g,VZPONCICIQ,988,I,118,69,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
ufNYjbXd1Jqe-rZbNbJQr7JnD7LYulhf7iLc4sOxjMaHQVGTmBWQHQl-8g,RRubyLOL,1122,I,138,105,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
vaR8C6Bcq3b68bQfwek_-22zX12O6KR21ASoSFqY0ArXBKk,DØSS,1182,I,139,96,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
YGwUGms48ZIRJT-un9N17BGqOo_WWKOqhqfb6sFIJPljDrmDVJrzKvyquw,Feel Immortal,1138,I,161,119,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
3NdcEWPX6-XmlxmU1Hw13iFts4QgUjae_cZuZoMJMZdgx2A,Blackest Man,942,I,188,154,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
tn4wclFZ2y4FkchpbTBH7gk4qx8KyJvFjiLqimrKYoeXwDr2_WoyWSEqxA,Terold,984,I,94,67,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
VAu5AW-AcpXJkDZZCGxeOOPk4hplteU6DngaDwvLTEdW6S0,Badlulu fan,1356,I,208,162,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
KDVS616EttY4gpTcwdS26x5WQfdv4Z53ETzXIeesyqT7Ah4,Νeοn,1022,I,146,116,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
EMkUJhEF4BHIGU5q2AhUcbCi0oIwzlnaGdY0Qpx5ZHg5pss,Donna Hamilton,993,I,206,169,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
HlVgMRu2YXeGVhsRbFFfYlMqH3HHIugmctIyhVIAdthbJmeiyz9dgS-drA,8282833113,1027,I,113,73,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
Z4xS2UrarygmQnS9qHxpONtFydeey9vWIAqK-owaAnYRlllC,koprtop,977,I,182,152,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
dpLuHq4SVoJ4CgjduxtE-dIAxQKqA7jzPP9uNhu38z8AcIA,TOP LFT,1009,I,383,345,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
2ctvjq6r7RQaslj9ckuz2vflHSiaZt8YAM8qBxm-5v8t64g,RXBXCXP,1197,I,133,90,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
_9fPUPgDEJ5aYhH5vVh645c0oG1oTGM9h2DBwbwk7To_G-pl,Zeus Slayer,1158,I,245,209,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
0Z4SeqGalL6YIYLAuln7qW7w8TqG_4G-HVc2sCbgih6kzTRSC59tBAJ7eg,Kendall knight,1027,I,102,61,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
9_OCQ5rrWbiNW4qaT2C7-m3Uw_6wutTgF-yuxtdhE0XKTJ4,Crowno,1025,I,240,211,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
_lcdiLm481UG0N8z6dDriZYU6VZVhmujti34EjOG9CiKZorypBxTgKw_FA,FireRain,1106,I,217,176,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
DmYsaHiBDtrJMyxft-CTyDbnwf2xn37EapxPyRZbRtaSfQc,SK Keduii,1117,I,275,238,True,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
jQIPGUhPAG9eHEjy6GeTGL-abzdYVRS7rHJ0vIhplIw126Q,NieUfamCiJezu12,1049,I,157,122,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
ssCwnaXvwxSFBS5peJxY8NUWTjP_JnY2dif6iwWJPN1Z3mFIyZqyJyYysg,Yagiao,1030,I,220,188,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
m3cuIKUcVcWpeBrZruImg1sbKWNAmLx-q3sXLcNXVNdZ0qo,SPEEDOBEAR,1008,I,281,255,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
y8WVbtXqWvZydKngdGNFqdXWIFfyvZN_9kmrqZpaZD8UenU,dajor25,1221,I,202,154,False,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
qhs1C4oPra0tiEj7chRM2e9NNdhdUE84GWb0px0o0etDg7A,school phobia,1165,I,249,213,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
Gv-NIPFQh3PZqbcYvJzD8FHXOoek3qX0Fbo-Aemn0iYRVek,Tv DaitoOkami,974,I,283,248,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
-nikuYrj7B95POFEfLtgfKh2i9gfTi8Eq6gIDEvr7MsBlUM,Practice,1195,I,188,147,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
nazEGKIgrafLefVQCYnZOYNQUrI22rI0bnZ-B5g8RZnEDcY,TheDisconnect,1033,I,152,117,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
oymlyFGZ2o2K4Zdty_7KXm5nEoY1aGJoX27FRTQl2ij9r9B-,Sinkingendle5sly,1246,I,318,274,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
ZZHSRvEx9lOcgdFaUcF5N1gnu_VanK_CBXh6L8wR2CUR9RQ,TPAA nrmn,1036,I,430,389,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
7i0QOoq-cDTBsJCzbEIG8_3hxlxsQeApwB1yfN1QguJ3pdUp,Mohamed du 56,1028,I,385,353,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
K2ViRAVcGYc41eePas77UR1aVlLA1IJn7LUEzXPLFk5uQBk,MID GAP OUUUUU,1073,I,201,167,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
M-86pYflyt5If_r0UPddVI4IRhzBe8oKT2Z5Vejbw5irmoUP,ego jungler,1010,I,181,110,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
c5Hgi33M2_JLDZDdDJEG7mxvXByVPXzlIva_dlFg1xYrgYQ,TakeSet sama,1413,I,223,175,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
c-Cx6T0WZRpLsdrgRjB1KNhv1spLfSlKG-49azbBP-buhPpy,blue the wizard,1015,I,281,233,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
A9uRNOZoR4zc9jsZfV3I4HFN0q8U82YXLHwQoWGRNerb1Ck,oiushdfkjsdfsd,1269,I,318,276,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
ZFWtYjsag9NFpXL27XhKR26_MS5Vw6vdAlECDwFQvwjkxAE,Nomi,1022,I,178,141,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
1lNhgKKvUOsy3odeTQuMrOsxTbJr1s1nBi1iaoUlLPZkjaY,LiL TommyG,1158,I,283,249,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
LjFzrL_rjnt6uxK5kYBRs8acvZWeBggWVmHbwnUlkm5zUH_w,Oner Slayer,1059,I,214,187,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
gBW8kg015VMgo_c-j7XNoYX6ft0jG59kP_rWtH2n1JK52Ro,Moché,1003,I,174,125,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
WQQm3nbCzNLn7kxttDlF5l-1EvAQHEQh2q8BI2KOyh0VhB0,bigboynumbers,1529,I,234,172,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
5WG_YRvqMLPPGg4JqEOkBGkcFKameD7lLf8h75yZsCh_8YA7df-BXfuSMw,LPG ZAMULEK,1226,I,187,136,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
pGaFyKcYtELJfLa0uZvtzXb1b4HuPjfWvtX5pT8S7W4lLbE,PORTUGUESE GALA,1326,I,313,274,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
QHZTwZIaOEyXucSejWwGuSl5itqtQP7E-3DJffgHdowuEwQ4,ANDARlEL,1286,I,194,152,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
