matchId;teamId;bans_championId_1;bans_championId_2;bans_championId_3;bans_championId_4;bans_championId_5;baron_first;baron_kills;champion_first;champion_kills;dragon_first;dragon_kills;inhibitor_first;inhibitor_kills;riftHerald_first;riftHerald_kills;tower_first;tower_kills
KR_6470578204;100.0;-1.0;-1.0;55.0;350.0;85.0;False;0.0;True;34.0;True;3.0;True;1.0;False;1.0;False;7.0
KR_6470578204;200.0;497.0;166.0;35.0;897.0;119.0;True;2.0;False;29.0;False;1.0;False;0.0;True;1.0;True;6.0
KR_6468667729;100.0;85.0;897.0;76.0;497.0;69.0;False;0.0;False;19.0;False;0.0;False;0.0;False;0.0;False;3.0
KR_6468667729;200.0;107.0;421.0;-1.0;136.0;119.0;True;1.0;True;30.0;True;4.0;True;1.0;True;2.0;True;8.0
KR_6468009450;100.0;50.0;897.0;119.0;555.0;-1.0;True;2.0;False;33.0;True;3.0;False;0.0;True;1.0;False;6.0
KR_6468009450;200.0;-1.0;203.0;166.0;114.0;902.0;False;0.0;True;38.0;False;2.0;True;1.0;False;1.0;True;8.0
KR_6466656798;100.0;-1.0;69.0;-1.0;166.0;350.0;False;0.0;False;16.0;False;1.0;False;0.0;True;2.0;False;4.0
KR_6466656798;200.0;897.0;166.0;43.0;54.0;120.0;True;2.0;True;31.0;True;3.0;True;2.0;False;0.0;True;9.0
KR_6467988987;100.0;103.0;29.0;-1.0;142.0;897.0;False;0.0;False;14.0;True;1.0;False;0.0;True;1.0;False;1.0
KR_6467988987;200.0;157.0;81.0;222.0;7.0;3.0;True;1.0;True;28.0;False;2.0;True;3.0;False;1.0;True;11.0
KR_6471716050;100.0;76.0;81.0;107.0;69.0;421.0;False;0.0;False;30.0;True;1.0;True;2.0;True;2.0;True;10.0
KR_6471716050;200.0;-1.0;79.0;103.0;236.0;69.0;False;0.0;True;13.0;False;0.0;False;0.0;False;0.0;False;1.0
KR_6469304483;100.0;121.0;555.0;53.0;78.0;134.0;True;1.0;True;28.0;True;2.0;True;1.0;True;2.0;True;9.0
KR_6469304483;200.0;-1.0;119.0;104.0;777.0;53.0;False;0.0;False;19.0;False;1.0;False;0.0;False;0.0;False;1.0
KR_6468395975;100.0;134.0;-1.0;897.0;107.0;-1.0;False;0.0;False;14.0;False;1.0;False;0.0;False;0.0;False;3.0
KR_6468395975;200.0;-1.0;897.0;7.0;69.0;-1.0;True;1.0;True;21.0;True;3.0;True;1.0;True;2.0;True;8.0
KR_6460787936;100.0;62.0;103.0;60.0;53.0;85.0;True;1.0;False;43.0;False;1.0;True;2.0;True;2.0;True;10.0
KR_6460787936;200.0;53.0;85.0;76.0;-1.0;-1.0;False;0.0;True;25.0;True;2.0;False;0.0;False;0.0;False;3.0
KR_6470793589;100.0;119.0;30.0;497.0;-1.0;-1.0;False;0.0;False;16.0;False;0.0;False;0.0;False;0.0;False;2.0
KR_6470793589;200.0;350.0;85.0;-1.0;897.0;60.0;True;1.0;True;24.0;True;3.0;False;0.0;True;2.0;True;5.0
KR_6471845674;100.0;897.0;60.0;126.0;69.0;7.0;False;0.0;False;35.0;False;3.0;True;1.0;True;2.0;False;7.0
KR_6471845674;200.0;897.0;221.0;498.0;119.0;121.0;True;2.0;True;26.0;True;1.0;False;0.0;False;0.0;True;4.0
KR_6471679227;100.0;76.0;-1.0;107.0;53.0;254.0;False;0.0;True;20.0;True;2.0;False;0.0;False;0.0;False;0.0
KR_6471679227;200.0;44.0;39.0;134.0;120.0;350.0;True;1.0;False;29.0;False;1.0;True;1.0;True;2.0;True;9.0
KR_6469331319;100.0;777.0;7.0;78.0;69.0;35.0;False;0.0;True;29.0;False;1.0;False;0.0;False;1.0;True;4.0
KR_6469331319;200.0;497.0;7.0;53.0;517.0;254.0;True;2.0;False;28.0;True;3.0;True;3.0;True;1.0;False;11.0
KR_6471678777;100.0;30.0;43.0;-1.0;114.0;-1.0;False;0.0;False;34.0;False;2.0;True;1.0;True;1.0;False;9.0
KR_6471678777;200.0;-1.0;-1.0;76.0;120.0;81.0;True;1.0;True;22.0;True;2.0;False;0.0;False;1.0;True;4.0
KR_6467396713;100.0;103.0;64.0;887.0;126.0;53.0;False;0.0;False;35.0;False;1.0;True;2.0;True;2.0;False;5.0
KR_6467396713;200.0;69.0;103.0;7.0;497.0;203.0;True;1.0;True;29.0;True;2.0;False;0.0;False;0.0;True;6.0
KR_6465474568;100.0;897.0;110.0;777.0;203.0;-1.0;False;0.0;False;8.0;False;0.0;False;0.0;False;0.0;False;0.0
KR_6465474568;200.0;121.0;76.0;133.0;69.0;30.0;False;0.0;True;21.0;True;1.0;False;0.0;False;0.0;True;1.0
KR_6470705602;100.0;122.0;119.0;555.0;72.0;166.0;False;0.0;False;29.0;True;3.0;False;0.0;True;1.0;False;3.0
KR_6470705602;200.0;41.0;166.0;69.0;203.0;-1.0;False;0.0;True;9.0;False;0.0;False;0.0;False;1.0;True;2.0
KR_6465535248;100.0;350.0;412.0;897.0;54.0;-1.0;False;0.0;False;11.0;False;0.0;False;0.0;True;1.0;False;1.0
KR_6465535248;200.0;76.0;350.0;54.0;30.0;-1.0;False;0.0;True;38.0;True;3.0;True;2.0;False;1.0;True;9.0
KR_6470622679;100.0;76.0;-1.0;897.0;30.0;902.0;False;0.0;False;25.0;False;1.0;False;0.0;False;1.0;False;3.0
KR_6470622679;200.0;-1.0;203.0;-1.0;412.0;350.0;True;1.0;True;42.0;True;2.0;True;2.0;True;1.0;True;9.0
KR_6471845674;100.0;897.0;60.0;126.0;69.0;7.0;False;0.0;False;35.0;False;3.0;True;1.0;True;2.0;False;7.0
KR_6471845674;200.0;897.0;221.0;498.0;119.0;121.0;True;2.0;True;26.0;True;1.0;False;0.0;False;0.0;True;4.0
KR_6468965117;100.0;-1.0;39.0;119.0;69.0;75.0;False;0.0;True;10.0;False;0.0;False;0.0;False;0.0;True;2.0
KR_6468965117;200.0;53.0;523.0;81.0;517.0;-1.0;False;0.0;False;22.0;True;2.0;False;0.0;True;1.0;False;4.0
KR_6469230229;100.0;-1.0;-1.0;7.0;76.0;81.0;False;0.0;False;22.0;True;2.0;False;0.0;False;1.0;False;2.0
KR_6469230229;200.0;7.0;114.0;85.0;-1.0;76.0;True;1.0;True;23.0;False;0.0;False;0.0;True;1.0;True;4.0
KR_6471687980;100.0;69.0;114.0;897.0;76.0;81.0;True;1.0;False;28.0;False;0.0;False;0.0;False;0.0;False;3.0
KR_6471687980;200.0;72.0;142.0;85.0;897.0;555.0;False;1.0;True;38.0;True;4.0;True;2.0;True;2.0;True;11.0
KR_6461495185;100.0;54.0;-1.0;497.0;1.0;53.0;True;1.0;False;18.0;False;2.0;False;0.0;False;0.0;True;4.0
KR_6461495185;200.0;222.0;89.0;60.0;142.0;104.0;False;0.0;True;13.0;True;1.0;False;0.0;True;2.0;False;3.0
KR_6469759658;100.0;14.0;76.0;27.0;7.0;121.0;True;1.0;True;30.0;False;2.0;True;1.0;True;1.0;True;9.0
KR_6469759658;200.0;111.0;53.0;67.0;412.0;517.0;False;0.0;False;22.0;True;2.0;False;0.0;False;1.0;False;6.0
KR_6471796734;100.0;498.0;55.0;119.0;902.0;-1.0;False;0.0;False;10.0;False;0.0;False;0.0;True;1.0;True;1.0
KR_6471796734;200.0;53.0;103.0;126.0;7.0;76.0;False;0.0;True;20.0;True;2.0;False;0.0;False;0.0;False;1.0
KR_6471796734;100.0;498.0;55.0;119.0;902.0;-1.0;False;0.0;False;10.0;False;0.0;False;0.0;True;1.0;True;1.0
KR_6471796734;200.0;53.0;103.0;126.0;7.0;76.0;False;0.0;True;20.0;True;2.0;False;0.0;False;0.0;False;1.0
KR_6471736588;100.0;119.0;412.0;121.0;85.0;-1.0;False;0.0;True;31.0;True;1.0;False;0.0;True;2.0;True;5.0
KR_6471736588;200.0;64.0;-1.0;114.0;-1.0;523.0;False;0.0;False;19.0;False;0.0;False;0.0;False;0.0;False;2.0
KR_6471363639;100.0;53.0;412.0;-1.0;54.0;-1.0;False;0.0;False;17.0;True;3.0;False;0.0;False;0.0;False;3.0
KR_6471363639;200.0;-1.0;7.0;203.0;902.0;555.0;True;1.0;True;35.0;False;1.0;True;1.0;True;2.0;True;9.0
KR_6471827661;100.0;119.0;64.0;-1.0;7.0;78.0;False;0.0;False;15.0;True;1.0;False;0.0;False;0.0;False;1.0
KR_6471827661;200.0;79.0;69.0;103.0;517.0;85.0;True;1.0;True;27.0;False;1.0;True;2.0;True;2.0;True;9.0
KR_6470838790;100.0;412.0;69.0;-1.0;121.0;78.0;False;0.0;False;5.0;True;1.0;False;0.0;False;0.0;False;0.0
KR_6470838790;200.0;-1.0;497.0;-1.0;69.0;119.0;False;0.0;True;16.0;False;1.0;False;0.0;True;1.0;True;2.0
KR_6470804805;100.0;-1.0;76.0;69.0;412.0;238.0;False;0.0;False;10.0;False;0.0;False;0.0;False;0.0;False;0.0
