summonerId;summonerName;region;leaguePoints;rank;wins;losses;veteran;inactive;freshBlood;hotStreak;tier;leagueId;queue
Fhvi5E5owQ4OZ6YCO9br61SAkTkNVsy-W0Aq4-0mOyzdlcE;Quad;KR;1802;I;302;233;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
2J6N81zUjy54fWncmB0pBuhK-wVwRKnPiJkdwObEMOXMPw;SnowFlow2r;KR;1537;I;238;172;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
Q57F1GqLAoyo3OU8cgGpdC9jnzZa4b5KdK9G2WVjOGthaQw;viper3;KR;1537;I;163;109;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
UVVx-bUaip-5jbAB4NMF4OvyIGGd9SRXv6vGVLNs_L7NCTg;댕청잇;KR;1527;I;186;121;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
-HFuufLIfdaHeaEY7kBaTOQt_bWnpEUQrMCZbtK6DsHHBWFPOobK4jmYig;갱스기무라;KR;1480;I;211;154;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
zQje4WnSbi6xmg2kwYFv2TK-HPOnelq1-XSM4bdkRWDovGGBhYflTTVy0A;KDF1;KR;1471;I;269;207;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
ZwxI78ezH9a6Izd-6S3xvK87Fd_w5VWFJIl1EsX7jKMyjdA;2U35;KR;1437;I;174;117;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
ENaY4D2m4Xj_6ljzLfbVqfaxMejjWGaYXddTc-7C8XqZPSE;KT Way;KR;1430;I;245;194;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
LFwIS37PdGbtBVbc8OmN-_UtNWZJj7JT07JUeHZBLnABIuk;김빵덕1;KR;1414;I;284;219;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
tsi2nlJ6R8yorO2w4o7XeiKiYQaHdcjbIas4E9KcdxVFJ7I;bie hou hui;KR;1378;I;192;139;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
nX_6ct0QM_-KpJyirHY-LsIva1ygMclIdG-ShbhF5_Nj7L8;GOOD GAME GG XD;KR;1374;I;119;68;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
yebIKotxEpXQp8BcGZfX195yXqeDCLCE4av5Tl2zvCAkzSk;난화내;KR;1373;I;322;276;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
bKLjLUpbiMQk-cyb-BtVeyXg3CmaQa9HLRXYpCA_7ugHkyA;KDF 태윤;KR;1362;I;172;128;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
2g72fECJ0DAS8Y35h9X_SqDlnFiV1bVk4Z1iuyN7Us0G5jU;JUGKlNG;KR;1347;I;121;70;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
YgDOJ4xhCPzTGMlp_WAy-IkXiq6knmZVr1IPm58Jt4Fo9JSkD0HqXn0XBg;경로당홍삼캔디훔쳐먹는김건;KR;1346;I;168;105;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
OfY0khA8kMz4sjW8S-UXGkZPaKpZcd3ZBhiclg55EH0_cZfv6UHJR6Z1YQ;hzw;KR;1343;I;200;131;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
cFTAG9hBjSzGuqpmmc8EW5EZ6BgsMY4GvqUcqW5y4yNdM3w;JUG CaD;KR;1340;I;641;593;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
J8ZDCJw_KGBhm6YSRF-OwMkN2V8zPyykSOmO2TMZS4lOe-c;앗싸 지렸다리;KR;1330;I;222;170;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
nafLHOi8p1Yt-DGybTEMW15FnjZihjr4UMSco794Dbo7iKRwh9rEIIVFhg;무릉필드 1;KR;1328;I;241;179;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
mdBHvIQjlv_aIAETsWg7fueIm5zAsrCBZIJPIidogr98BxA;KDF 영재;KR;1320;I;195;145;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
18hED1uL9rXClNFxRoBXdkUR3EZRCC5B_oCXuivhCJlvsNlypa9zwKuGQA;wutian;KR;1312;I;143;93;False;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
aNWp0tw_3GG2jfB16isNB7oRfQpfiCQYRM1ecQquLB7xxbJJ8BcZBRfBRA;미니웅즈;KR;1306;I;384;336;False;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
U2UpnDWYplXNBEYqMMdJI5vIzxpiRNZpIw2HIvumg2Lok9I;Chu성훈;KR;1302;I;329;281;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
E5Uq2wtOWJoe7qj9uES71uSUFyytdjpbL4bKbKhIoQvr22CC;B0NN1E;KR;1288;I;306;254;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
CI9qbS8QA9lKuK05ovjZon9nWqiOJvqdE6_QQB4Oe_qZoXum5mAJbhT8AA;DK Saint;KR;1287;I;357;306;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
6nBj8EnR6uj0VngcYtTYg1AnA_zxU24aXInewC6HX2DwIu4;포기를 포기할게;KR;1272;I;202;156;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
7IiQenWQmbqYIwhQPh742LzBbTWMLKmvt7G1pg92tcQBbA;킬러톱;KR;1264;I;298;244;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
f3AEPb6W6xucAuk8TyzZqpwq7OVX2jffrpSXsvtaXLFaryh_hnJ7QF5IXw;Manycpyfjtjkyxf;KR;1254;I;241;190;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
TScfhODnt6lCBXin01wFjkEc26stmpK-zpEQNeMiQoBgZ06gyzb2sh0zSg;씨맥당신은틀렸어;KR;1245;I;264;219;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
lG_24mYo1UpXZK2WXXeqtJdEBvQXt6BhvU-8XRy9v8SEnKF7;DK Pullbae;KR;1241;I;275;226;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
7hvsbTZJMUljW85mBgbQdUsTQbDOS3xnUjduAO2WrKfpkpA;칼과 창 방패;KR;1239;I;225;183;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
ARlaQwjDXM77Hl5xBTKN-lUFv9moV8EFIZM4IzYMV0618h8XezoeHvCONQ;에휴휴휴휴휴;KR;1233;I;122;79;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
FWFCkyEBqKdBRPNyL8r6vjSQwpD3F7NrpBqviW4BOqjWwR0;으끄으끄;KR;1226;I;203;166;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
LU1NKPuI-mDiaijpVfFb5d5NYbmMB3f0GqLb8MHBoNbz8lUA9VR0qac_kA;naiyoubaby;KR;1206;I;264;222;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
ByoqeLc0n_vDTcc3b7Lz-OEQa7s0xvkBY9-LV22idztXaaM;T1 Gumayusi;KR;1205;I;228;193;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
dfnhxKz1iZ1ctoPv25HXY9L9IrV2feUj9LDEw1pjc7u3JqE;bababaabam;KR;1200;I;183;139;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
BHIVrrgUXM_KW_SbcMKWZNHOJL2bdbByBtz5EZwzFSWKxFjvbEhfz6sV6w;Katappo;KR;1195;I;267;222;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
tKtak1GQ0wboAN-R5i6GSBaYoJQc6ygTVrFxkvYOjpAbKw53;소년가장 원딜;KR;1194;I;333;293;True;False;False;True;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
8lom3tx3BSmJeNv8MgqzAim8IKRzmd6LWSbMoB3nOZAp73M;Cuzz;KR;1183;I;103;60;False;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
YYGfmuJgAhQ28uLZsgh1FRjGnDflypYK5uLa_e2shRK2NXk;몽이의 간식;KR;1182;I;163;117;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
7P_npiASBuT3gNmfUdQ9GjSqWPbCW_4i4iTnOU5CcEUUhA;언니우기;KR;1179;I;200;162;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
EO13K9zt-k9rqnjmysTnAa2M50bjKcOw-QVn0STVamxw0yk;fiwkrpw;KR;1171;I;186;137;False;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
bXZRslKAQ7AQVdEtQfocXmCoSLAYgUkO1WzQS0IlsESvK6bkkecR0-Er8Q;앙 맛있엉;KR;1166;I;184;145;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
86swIjHZACn_BUB4AQXKSMqLS30J1VfwvuSfpySzqil2RiM;Delight02;KR;1162;I;186;148;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
BZyyclbeUNEQMt6v6L1iohCBoRg1UOw2jK9KPc0GJQggAB_r4LDjwDtugA;ranranbaby;KR;1161;I;259;191;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
XGdDFHfCTvH10O8qlQjCcr9sm3Ox4WtoYJpImKopR0XM8CXBIU93dUgPew;900Ghost;KR;1160;I;360;310;True;False;False;False;CHALLENGER;70d8c920-e79e-383e-b905-f8e94c2955d2;RANKED_SOLO_5x5
